forehead	noun	/ˈfɔːhed/	古英语 forheafod：fore（在前）+ heafod（头）← 原始日耳曼语 *haubudam（头）	the part of the face above the eyes and below the hair	体温枪往眉毛上边那块平地一贴，眉一挑，横纹叠起好几道	额头	The nurse pressed a thermometer to his forehead.|Sweat ran down her forehead into her eyes.	the flat field of the face above the eyes – 眼睛上方那块平地
hungry	adjective	/ˈhʌŋɡri/	古英语 hungrig（hungor 饥饿 + -ig）← 原始日耳曼语 *hungruz	needing food, or wanting something very much	胃里一阵一阵抽紧，闻到隔壁炒菜的味就咽了一下	饥饿的/饿的/渴求的	The children were tired and hungry.|He is hungry for success.	the body calling for what it lacks – 身子在催要它缺的东西	饥饿的：缺食物，胃里发空发紧|饿的：同一状态，日常里这么说|渴求的：把这种缺得难受挪到想要别的东西上
hunt	verb / noun	/hʌnt/	古英语 huntian（追捕猎物）← 原始日耳曼语，与 hentan（抓住）同支	to chase animals in order to catch them, or to search hard for something	他蹲在草里不动，眼睛跟着那头鹿走，手慢慢摸向绳套	打猎/追捕/搜寻	They hunted deer in the forest.|Police are hunting the missing man.	going after something in order to take it – 盯上一样东西，追着去拿到手	打猎：进林子追野物，为的是捉住它|追捕：把这套用在追人上，直到抓着|搜寻：还没见着目标，先四处翻找
hurl	verb	/hɜːl/	中古英语 hurlen（猛掷、猛冲），与低地德语 hurreln（乱扔）同类，多认为是拟声，更早词源不明	to throw something with great force	他抓起石头，整条胳膊往后一带再送出去，石头飞过了屋顶	猛掷/用力扔/大声吼出	He hurled a stone into the river.|The crowd hurled insults at him.	sending it off with the whole body behind it – 用上全身的劲把东西送出去	猛掷：使足劲把东西扔出去|用力扔：同一个动作，强调那股劲|大声吼出：话像石头一样砸过去，多指骂人
hurry	verb / noun	/ˈhʌri/	16 世纪晚期英语 hurry，可能是 harry（驱扰）的变体，也可能是拟声，更早词源不明	to move or do something more quickly than usual	她一边套外套一边往门口小跑，钥匙掉了都没停下来捡	匆忙/赶快/催促	We had to hurry to catch the bus.|There is no need to hurry.	cutting short the time a thing normally takes – 把本该用的时间压短	匆忙：动作压得很快，顾不上别的|赶快：叫自己或别人把速度提起来|催促：在旁边推着人快一点
hurt	verb / noun / adjective	/hɜːt/	中古英语 hurten（伤到、撞上）← 古法语 hurter（撞、顶），一说源自法兰克语（公羊顶撞），更早词源不明	to cause pain or damage to someone or something	膝盖撞上桌角，人弯下腰按住那块，几秒钟说不出话	伤害/疼痛/使难过	He hurt his knee while running.|Her words hurt him deeply.	a knock that leaves pain behind – 撞上那一下，留下了疼	伤害：碰坏撞坏，身上留下损处|疼痛：那一下之后一直发作的感觉|使难过：话像撞过来一样，心里也留下疼
husband	noun	/ˈhʌzbənd/	古英语 hūsbonda（一家之主）← 古诺尔斯语 húsbóndi（hús 房子 + bóndi 住户、耕作者）	the man that a woman is married to	房产证上他的名字挨着她的，进门用同一把钥匙，一个门牌	丈夫	Her husband works at the hospital.|He has been a good husband for years.	the man who keeps the house together with her – 跟她一起持这个家的男人
hut	noun	/hʌt/	17 世纪英语 hut ← 法语 hutte ← 中古高地德语 hütte（简陋小房），源自原始日耳曼语	a small simple building, usually made of wood or mud	山坡上一间木板搭的小房，一门一窗，顶上压着石头防风	小屋/棚屋/茅舍	They slept in a wooden hut.|The shepherd built a hut of stones.	the plainest shelter one can put up – 能搭起来的最简陋的一间	小屋：一间又小又简单的房|棚屋：用板子铁皮草草搭起来的那种|茅舍：草和泥糊成的乡下那种
ice	noun / verb	/aɪs/	古英语 īs ← 原始日耳曼语 *īsa-	water that has frozen and become solid	桶里的水面结成一层硬壳，敲一下裂出白纹，手贴上去发麻	冰/冰冻/结冰	The lake was covered with ice.|Ice formed on the windows overnight.	water gone hard and cold – 水变硬又变凉的那个样子	冰：水冻成的那层硬东西|冰冻：把东西放进这种硬冷里存住|结冰：水面正在变成那层硬壳
idiom	noun	/ˈɪdiəm/	法语 idiome ← 晚期拉丁语 idioma ← 希腊语 idiōma（自家特有的说法）← idios（自己的、私有的）	a group of words whose meaning cannot be guessed from the single words	每个字都认得，连起来却是另一个意思，翻字典也对不上	习语/成语/惯用法	The idiom kick the bucket means to die.|She writes in the idiom of local people.	a phrase a language keeps as its own – 一门语言自己攒下的固定说法	习语：几个词固定搭在一起，意思另有一层|成语：汉语里对应的那种四字固定说法|惯用法：某地某人说话时特有的路数
idiot	noun	/ˈɪdiət/	古法语 idiote ← 拉丁语 idiota（外行、无知者）← 希腊语 idiōtēs（不问公事的私人）← idios（自己的）	a person who behaves in a very stupid way	他把汽油当水往火上浇，旁边的人全往后退了两步	傻瓜/白痴/笨蛋	Only an idiot would drive that fast.|I felt like an idiot after asking.	one who knows nothing past his own doorstep – 只守着自己那点见识、什么都不通的人	傻瓜：做事不动脑子的人|白痴：说得更重，指智力上确实不行|笨蛋：口头责怪人没想清楚
idle	adjective / verb	/ˈaɪdl/	古英语 īdel（空的、无用的）← 西日耳曼语 *īdal-	not working or not being used, or doing nothing	车间里机器全停着，皮带松垂，工人坐在门口台阶上晒太阳	闲置的/空闲的/懒散的/空转	The machines stood idle for months.|He idled away the whole afternoon.	sitting there with nothing going on – 摆在那儿，什么也没在发生	闲置的：东西放着不用，也没坏|空闲的：人手上没活，时间摆着|懒散的：有活也不动，提不起劲|空转：机器开着却不带负载，白转
ignite	verb	/ɪɡˈnaɪt/	拉丁语 ignitus（ignire 使着火 的过去分词）← ignis（火）	to start to burn, or to make something start to burn	火柴划过盒边，一小簇亮起来，凑近棉絮，棉絮跟着蹿开	点燃/着火/引发	A spark ignited the dry grass.|The fuel ignited with a loud bang.	getting a thing to catch and burn – 让一样东西接住火烧起来	点燃：把火引到东西上，让它烧|着火：东西自己接住火，开始烧|引发：像把火引上去那样，把一场事挑起来
ill	adjective / adverb / noun	/ɪl/	中古英语 ill ← 古诺尔斯语 illr（坏的、恶的）	not in good health, or bad and harmful	她请了三天假，脸色发黄，说话有气无力，饭端来也不动	有病的/坏的/恶意的	She has been ill since Monday.|He spoke ill of his former boss.	in a bad state, or meaning badly – 状态坏掉了，或存着坏心	有病的：身体出了毛病，撑不起来|坏的：情形往差的那面走，如运气名声|恶意的：心里存着要害人的那一层
illness	noun	/ˈɪlnəs/	由 ill（坏的、有病的）加 -ness 构成；ill ← 古诺尔斯语 illr（坏的）	the state of being unwell, or a particular disease	床头摆着药盒和体温计，日历上连划了两周的红圈	疾病/病痛/身体不适	He missed school because of illness.|She recovered from a long illness.	the state of a body gone bad – 身体转坏之后的那个状态	疾病：具体的某一种，能叫出名字|病痛：生病时身上难受的那一份|身体不适：整体上处在不好的状态里，未必查得出病
illusion	noun	/ɪˈluːʒn/	古法语 illusion ← 拉丁语 illusionem（嘲弄、欺瞒）← illudere（in- 向着 + ludere 玩弄、戏耍）	something that seems real but is not	远处路面上明明有一片水，走近了却是干的柏油	幻觉/错觉/幻想	The mirror creates an illusion of space.|He has no illusions about the job.	something the eye is played with – 眼睛被戏弄出来的东西	幻觉：看见了实际不存在的东西|错觉：东西就在那儿，只是被看成了别的样子|幻想：心里当真的那种不实指望
inch	noun / verb	/ɪntʃ/	古英语 ynce ← 拉丁语 uncia（十二分之一，也指一盎司）	a unit of length equal to one twelfth of a foot	拇指指根到指节那么一小段，量整扇窗框得挪二十几回	英寸/一点点/缓慢移动	The snow was three inches deep.|The car inched forward in the queue.	one twelfth of a foot – 一英尺分成十二份里的一份	英寸：一英尺的十二分之一那么长|一点点：小到这个程度的量，如不让一寸|缓慢移动：一小段一小段地往前挪
income	noun	/ˈɪnkʌm/	由 in（进来）与 come（来）复合，中古英语起指进到手里的钱；come ← 古英语 cuman ← 原始日耳曼语	money received from work or from what one owns	每月十号账户多出一笔，房租水电都从这笔里扣掉	收入/所得/进项	His income doubled in three years.|They live on a small income.	what comes in to your side – 进到你这一边来的那一份	收入：定期进到手里的钱|所得：算账算税时说的那一笔|进项：生意上进来的那一头，与开支相对
indeed	adverb	/ɪnˈdiːd/	由 in（在）与 deed（行为、事实）复合，中古英语作 in dede（在实际中）；deed ← 古英语 dǣd ← 原始日耳曼语	used to confirm or strengthen what has just been said	对方刚说完猜测，他点头补一句，把那句话再压实一层	确实/的确/其实	The film was indeed very long.|Thank you very much indeed.	putting the words back on the fact – 把话按回到事实上	确实：承认对方说的正是这样|的确：同一个意思，语气再加一分|其实：接着补出实情，可能与前面听着不同
indoor	adjective	/ˈɪndɔː/	由 in（在里面）与 door（门）复合，18 世纪起通用；door ← 古英语 duru ← 原始日耳曼语 *dur-	happening or used inside a building	外面正下雨，球场却铺着木地板，顶上一排灯全亮着	室内的/室内用的	They moved the match to an indoor court.|She bought indoor shoes for the gym.	on the inside of the door – 在门里边那一侧	室内的：地点在建筑里面，不受天气管|室内用的：东西专为屋里做，不拿到外头去
indulge	verb	/ɪnˈdʌldʒ/	拉丁语 indulgēre（宽待、放任、不加约束），更早词源不明	to let yourself or someone else have what they want	孩子第三次伸手拿糖，大人看了一眼没拦，把盘子推过去	放纵/纵容/沉溺	She indulged herself with a long bath.|Parents often indulge their only child.	taking away the hand that holds back – 把拦着的那只手撤掉	放纵：对自己不设限，想要就给|纵容：该管的时候不管，任对方去|沉溺：一头扎进某样享受里出不来
infrared	adjective / noun	/ˌɪnfrəˈred/	由拉丁语 infra（在下方、在……之外）与 red（红）合成，19 世纪末指波长落在红光之外的那段辐射；red ← 古英语 rēad ← 原始日耳曼语 *raudaz	of the light waves lying just beyond the red end of what the eye can see	屋里一片黑，屏幕上却浮出人形，暖处发白，凉处发暗	红外的/红外线	The camera uses infrared to see at night.|Infrared rays carry heat from the fire.	lying just past the red edge – 落在红那一头再往外一点	红外的：位置在可见的红之外那一段|红外线：这一段本身，看不见却带着热
inhale	verb	/ɪnˈheɪl/	拉丁语 inhalare（in 向内 + halare 呼气、吐息）	to breathe air, smoke or gas into your lungs	他站在窗前把胸口鼓起来，冷空气一路灌到底，肩膀跟着抬高	吸入/吸气	He inhaled deeply and closed his eyes.|Do not inhale the fumes from the paint.	pulling air in through nose or mouth – 把空气往身体里拉进来	吸入：把空气或烟气拉进身体里|吸气：单指往里吸那一下动作
ink	noun	/ɪŋk/	古法语 enque ← 晚期拉丁语 encaustum ← 希腊语 enkauston（烧灼上色的颜料）	a coloured liquid used for writing or printing	笔尖在纸上停了一秒，纸背就洇出一小团黑，边缘毛毛的	墨水/油墨	The pen ran out of ink halfway.|Ink soaked through to the next page.	dark fluid that leaves a mark – 留下痕迹的深色液体	墨水：灌在笔里、写字时流出来的那种|油墨：印刷机滚筒上抹的那层稠的
inland	adjective / adverb	/ˈɪnlənd/	古英语 inland（庄园内圈的地）：in（里）+ land（地）	situated in or towards the interior of a country, away from the coast	开了三小时车，空气里的咸味没了，路两边全是麦田	内陆的/内地的/向内陆	They moved to an inland town last year.|The birds fly inland before a storm.	away from the sea, deeper into the land – 离开海岸往地里去	内陆的：四面不挨海的那一片|内地的：从边境或港口往里数的地方|向内陆：动作方向朝着离海更远处
inlet	noun	/ˈɪnlet/	中古英语 in（里）+ let（放入），字面「让水进来的口子」	a small narrow arm of water reaching into the land, or an opening for intake	海水顺着两片崖壁之间挤进来，尽头窄得只能过一条小船	小湾/进水口/入口	The boat anchored in a sheltered inlet.|Water enters the tank through this inlet.	a narrow way in for water – 一条让水进来的窄口	小湾：海挤进陆地形成的那道细长水面|进水口：机器上让水灌进去的那个孔|入口：泛指让东西进来的开口
inn	noun	/ɪn/	古英语 inn（住处、屋里）← in（里面）← 原始日耳曼语 *innai	a small hotel or pub, usually in the country	雪夜里路边一扇黄窗，推门进去有火炉和一排空床	小旅馆/客栈/酒馆	They stayed at a small country inn.|The inn serves hot soup all night.	a house that takes you in for the night – 收人过夜的屋子	小旅馆：乡下路边只有几间房的落脚处|客栈：旧时供人歇脚住宿的店|酒馆：同一屋子里卖酒卖饭的那一半
inner	adjective	/ˈɪnə/	古英语 innerra（更里面的），是 inne（在里面）的比较级	located further inside, or relating to one's private feelings	剥开三层纸箱，最里头还有一只小盒子，贴着封条	内部的/里面的/内心的	The inner room has no windows.|She kept her inner doubts to herself.	the layer that lies further in – 更靠里的那一层	内部的：整体里靠中心的那部分|里面的：位置上被外层包着的|内心的：藏在人心里、不给外人看的那一层
innocent	adjective	/ˈɪnəsnt/	拉丁语 innocens：in-（不）+ nocere（伤害），字面「不会害人的」	not guilty of a crime, or free from harmful intent	孩子把打碎的杯子捧到大人跟前，眼睛睁得很大，一点不躲	无辜的/清白的/天真的	The court found him innocent.|She gave an innocent smile.	doing no harm and hiding nothing – 不害人也不藏事	无辜的：事情不是他做的，责任落不到他身上|清白的：查过之后身上没有污点|天真的：心里没有坏念头，也想不到别人有
input	noun / verb	/ˈɪnpʊt/	中古英语 in（进）+ put（放），字面「放进去的东西」	something put into a system, or to enter data into a machine	料斗上方倒进一袋豆子，机器嗡地转起来，出口开始落粉	输入/投入/输入数据	The machine needs a steady input of power.|Please input your name here.	what you put in for something to work – 为了运转而放进去的东西	输入：从外面送进系统的那一份|投入：为做成一件事投进去的钱或力气|输入数据：把字和数敲进机器里这个动作
insight	noun	/ˈɪnsaɪt/	中古英语 in（里）+ sight（看见）← 古英语 gesihth	a clear and deep understanding of something	别人还在翻资料，他盯着那张图看了两秒就说出问题在哪	洞察力/见解/领悟	Her book offers real insight into poverty.|He lacked insight into his own habits.	seeing straight into how a thing works – 一眼看进事情里面	洞察力：能看穿表面直接看到里头的本事|见解：看进去之后说出来的那个想法|领悟：忽然看明白的那一下
instead	adverb	/ɪnˈsted/	中古英语 in stead（在……的位置上），stead ← 古英语 stede（地方、位置）← 原始日耳曼语 *stadiz	in place of something else	他伸手要拿咖啡，最后端走了旁边那杯茶	代替/反而/而不是	He drank tea instead of coffee.|She did not cry; she laughed instead.	one thing standing in another's place – 一样东西站到另一样的位子上	代替：把原来那个换下来，自己顶上|反而：预料的没发生，出来的是另一样|而不是：两者只挑后一个，前一个作废
intrude	verb	/ɪnˈtruːd/	拉丁语 intrudere：in-（进）+ trudere（推、挤）	to enter or interfere where you are not welcome	门只开了半尺，一只脚已经先伸进了缝里	侵入/打扰/闯入	I hope I'm not intruding on your meal.|Reporters intruded into her private life.	pushing in where no room was offered – 硬把自己挤进没给你的地方	侵入：不经允许挤进别人的地界|打扰：插进别人正在做的事里|闯入：整个人直接进到不该进的地方
invest	verb	/ɪnˈvest/	拉丁语 investire：in-（进）+ vestire（穿衣）← vestis（衣服），本义「给……穿上」，后转指把钱披到生意上	to put money or effort into something hoping for a return	他把攒下的全部推过桌面，换回一张纸，对面说三年后见	投资/投入/授予	They invested in a small bakery.|She invested years in that project.	laying your money onto something to grow – 把钱披到一样东西上等它长	投资：把钱放进生意里，等它变多|投入：同样把时间和精力放进去|授予：像给人披上衣服那样，把职权加到他身上
iron	noun / adjective / verb	/ˈaɪən/	古英语 īren / īsern ← 原始日耳曼语 *īsarnan（这种硬金属）	a hard grey metal, or to press cloth flat with a heated tool	一块灰扑扑的东西压得手往下坠，敲一下声音又闷又长	铁/铁制的/熨	The gate is made of iron.|She ironed her shirt before dinner.	the heavy grey metal that shapes tools – 打器具用的那种沉重灰金属	铁：又重又硬、敲起来发闷的那种金属|铁制的：用这种材料做出来的|熨：用烧热的这种金属块把布压平
irony	noun	/ˈaɪərəni/	拉丁语 ironia ← 希腊语 eirōneia（装作不知、佯言）← eirōn（说反话的人）	the use of words meaning the opposite of what is said, or an outcome opposite to expectation	消防站自己烧了，牌子还挂在门口没摘	讽刺/反语/出人意料的反差	There was irony in his polite reply.|The irony is that she warned us first.	saying or meaning the reverse – 话面和真意翻了个个儿	讽刺：话说得客气，意思正相反|反语：这种把意思倒过来说的手法|出人意料的反差：事情结局跟该有的样子正好翻过来
irrigate	verb	/ˈɪrɪɡeɪt/	拉丁语 irrigare：in-（进）+ rigare（引水、浇湿）	to supply land with water through channels or pipes	闸板一提，水顺着田垄一路淌到最远那排苗根下	灌溉	Farmers irrigate the fields in June.|They irrigate the desert with pipes.	leading water to where crops need it – 把水引到庄稼要水的地方	灌溉
irritate	verb	/ˈɪrɪteɪt/	拉丁语 irritare（挑动、激起），更早词源不明	to annoy someone, or to make part of the body sore	衣领里那块标签一直磨着后颈，她第七次抬手去抠	使恼火/激怒/使发炎	His constant humming irritated her.|Cheap wool irritates my skin badly.	rubbing at something until it reacts – 一直磨一样东西直到它起反应	使恼火：反复磨人的耐性，让人火起来|激怒：磨到底了，火彻底烧起来|使发炎：磨在皮肉上，那块变红发痒
island	noun	/ˈaɪlənd/	古英语 īgland：īeg（水中之地）+ land ← 原始日耳曼语 *awjō；拼写里那个 s 是后人比着 isle 加的，本词与拉丁语无关	a piece of land completely surrounded by water	船绕了一圈回到原处，这块地四面都是水，谁也走不出去	岛/岛屿/安全岛	They sailed to a small island.|The island has only one road.	land cut off on every side by water – 四面被水切断的一块地	岛：水里孤立的一块陆地|岛屿：这样的地方成片出现时的统称|安全岛：马路中间那块四面是车流的小地方
item	noun	/ˈaɪtəm/	拉丁语 item（同样地、又一条），旧账本每起一行就用这个词开头	a single thing in a list or collection	清单上一条挨一条，每条前头一个小方框，打完钩才往下走	项目/条款/一件物品	Check each item on the list.|The last item cost forty pounds.	one countable entry among many – 一堆里能单拎出来的一条	项目：清单或计划里单列的一条|条款：合同上分开写的每一段规定|一件物品：能拿起来数一个的东西
itself	pronoun	/ɪtˈself/	古英语 hit（它）+ self（自身）← 原始日耳曼语 *selbaz	used to refer back to the same thing already mentioned	风把门关上了，没人碰过它，门是自己合的	它自己/本身	The door closed itself in the wind.|The idea itself is not new.	the thing turning back on the thing – 动作绕回到那样东西身上	它自己：动作落回到同一样东西身上|本身：撇开外围，只说那样东西干净的部分
jam	noun / verb	/dʒæm/	十七世纪英语 jam，可能出自拟声（模仿使劲压挤那一下），更早词源不明	a sweet fruit spread, or to press things tightly into a space	熬得起稠了，勺子拖过去能划出一道沟，慢慢才合上	果酱/堵塞/挤塞	She spread jam on warm bread.|Traffic jammed the whole street.	fruit or bodies pressed into one mass – 果肉或人被压成挤在一起的一团	果酱：水果煮到烂稠、抹在面包上的那一层|堵塞：车或人挤在一处，谁也动不了|挤塞：把东西硬按进不够大的空处
jar	noun	/dʒɑː/	古法语 jarre ← 阿拉伯语 jarrah（陶制大水器）	a wide-mouthed container of glass or clay, usually with a lid	架子上一排玻璃容器，口很宽，手能整只伸进去，盖子拧得死紧	罐/坛/一罐的量	She opened a jar of pickles.|He drank a whole jar of milk.	a wide-mouthed vessel you reach into – 一只能伸手进去的宽口容器	罐：玻璃或陶做的宽口盛器|坛：陶的那一种，多用来腌东西|一罐的量：以这只容器为单位算出来的分量
jargon	noun	/ˈdʒɑːɡən/	古法语 jargon（鸟叫、含混的絮语），出自拟声	special words used by a group that outsiders cannot follow	电梯里两个人在说话，每个字都听得清，连起来一句也不懂	行话/术语	Legal jargon confuses most readers.|He explained it without any jargon.	inside words that shut outsiders out – 圈内人才听得懂的一套说法	行话：同一行的人之间才通的那套说法|术语：这行里对某样东西定死的叫法
jaw	noun	/dʒɔː/	中古英语 jowe，可能出自古法语 joue（腮），更早词源不明	either of the two bones holding the teeth and framing the mouth	他把后槽牙咬死，腮边一条肌肉鼓起来，下面那块骨头往前顶	颌/下巴/嘴部	He clenched his jaw and said nothing.|The dog's jaws snapped shut.	the hinged bone that opens the mouth – 让嘴张合的那副带铰的骨头	颌：上下各一块、夹着牙的那块骨头|下巴：其中下面那块，从外面能摸到|嘴部：连着这副骨头的整个开合部位
jazz	noun	/dʒæz/	二十世纪初美国俚语，先见于西海岸口语，更早词源不明	a style of music with swung rhythm and improvised solos	小号手闭着眼吹了一段，谱上没有，散场后谁也复不出来	爵士乐	He plays jazz in a small club.|The band mixed jazz with folk tunes.	music made up on the spot – 当场即兴造出来的音乐	爵士乐
jealous	adjective	/ˈdʒeləs/	古法语 gelos ← 晚期拉丁语 zelosus ← 拉丁语 zelus ← 希腊语 zēlos（热切、争胜之心）	resenting what another has, or watchful over what is yours	他看着那两人说笑，手里的杯子越攥越紧，眼睛一直没挪开	嫉妒的/妒忌的/看得很紧的	He was jealous of his brother's success.|She is jealous of her own privacy.	burning to have what another holds – 盯着别人手里的东西心里发烧	嫉妒的：见别人有而自己没有，心里不好受|妒忌的：这份不好受再往里烧，开始记恨|看得很紧的：反过来盯住自己的那份，不许人碰
job	noun	/dʒɒb/	中古英语 jobbe（一堆、一块活），词源不明	paid work, or a particular piece of work to be done	七点打卡，同一道流程走到下班，月底账上多一笔	工作/职位/一件活	She found a job in a bank.|Painting the fence is a big job.	a piece of work you are paid to do – 领钱去做的一份活	工作：为挣钱天天去做的那件事|职位：这份活在单位里占的那个位子|一件活：单独拎出来要做完的一桩事
jog	verb / noun	/dʒɒɡ/	中古英语 joggen（轻推、摇动），可能是 shog 的变体	to run at a steady slow pace, or to nudge lightly	他沿着河边匀速跑了四十分钟，呼吸一直没乱，鞋底声一下接一下	慢跑/轻推/唤起	He jogs by the river every morning.|She jogged my elbow on purpose.	moving along in small steady pushes – 一小下接一小下地往前送	慢跑：步子小而匀，能一直跑下去|轻推：胳膊上给一下，力气不大|唤起：在记性上轻推一下，事情就浮上来了
jolly	adjective	/ˈdʒɒli/	古法语 jolif（欢庆的、俊俏的），可能与古诺尔斯语 jól（岁末节庆）有关，更早词源不明	cheerful and full of good humour	他笑起来整张脸都在动，桌上的人跟着一起笑，气氛松下来	快活的/兴高采烈的	He greeted us in a jolly voice.|They had a jolly evening together.	good cheer that spills onto others – 高兴得带着旁人一起松快	快活的：脸上和声音里都是笑意|兴高采烈的：这份高兴外露到藏不住
jug	noun	/dʒʌɡ/	十六世纪英语 jug，可能来自女子名 Joan 的昵称 Jug，更早词源不明	a deep container with a handle and a lip for pouring	侧面一个把手，口沿捏出一个尖，倒的时候水线细而不散	壶/罐/一壶的量	She filled the jug with cold water.|He poured milk from a china jug.	a handled vessel shaped to pour – 带把手、口上做了尖的盛器	壶：有把有尖、专为往外倒设计的器皿|罐：同一只器皿当盛器用时的叫法|一壶的量：以它装满为准算出来的分量
juice	noun	/dʒuːs/	古法语 jus（汤汁、肉汁）← 拉丁语 jus（汤、羹）；与表示「法」的同形拉丁词 jus 无关	the liquid pressed out of fruit, vegetables or meat	半个橙子在压盘上转了一圈，底下积出小半杯黄水	果汁/汁液/电力	She drank a glass of orange juice.|The meat juices ran onto the plate.	the liquid squeezed out of something – 从一样东西里挤出来的水	果汁：从水果里压出来的那种饮料|汁液：从肉或菜里流出来的同一样东西|电力：口语里把电当成流动的汁水说
jump	verb / noun	/dʒʌmp/	十六世纪英语 jump，可能出自拟声，更早词源不明	to push off the ground with both feet, or a sudden rise	屈膝一蹲，两脚同时离地，人整个越过了那道沟	跳/跳跃/猛增	He jumped over the low wall.|Prices jumped by thirty percent.	pushing off and leaving the ground – 蹬一下让自己离开地面	跳：蹬地起来落到别处|跳跃：这个离地动作本身|猛增：数字像被蹬了一下那样忽然上去
jungle	noun	/ˈdʒʌŋɡl/	印地语 jangal（荒野、林莽）← 梵语 jāṅgala（干旱荒地）	dense tropical forest where growth blocks the way	藤条缠成网，两步之外看不见路，脚下全是烂叶和积水	丛林/热带雨林/毫无秩序的乱局	They cut a path through the jungle.|The city is a jungle after dark.	growth so thick it closes the path – 长得密到把路封住	丛林：树和藤缠在一起走不通的地方|热带雨林：这种地方里又湿又热的那一类|毫无秩序的乱局：像那里头一样，没有路也没有规矩
junior	adjective / noun	/ˈdʒuːniə/	拉丁语 junior（较年轻的），是 juvenis（年轻的）的比较级	lower in rank, age or length of service	会议室最靠门那把椅子，坐着进来才半年的那个人	较年轻的/资历浅的/下级	He is junior to me by two years.|A junior clerk handled the file.	the one with fewer years behind him – 年头攒得比别人少的那个	较年轻的：岁数上比另一个小|资历浅的：在这里待的年头比别人短|下级：因此在排位上处在下面那一层
junk	noun	/dʒʌŋk/	中古英语 jonke（旧缆绳、废索），更早词源不明	things kept but no longer of any use	车库角落堆到房梁，坏台灯压着缺腿的椅子，谁也不动它	废物/破烂/垃圾食品	He cleared the junk out of the garage.|Stop eating junk before dinner.	kept things that no longer serve – 留着却派不上用场的东西	废物：坏了或过时、留着没用的东西|破烂：这些东西堆在一起时的说法|垃圾食品：吃了不顶事、只占地方的那类吃的
juvenile	adjective / noun	/ˈdʒuːvənaɪl/	拉丁语 juvenilis ← juvenis（年轻的）	relating to young people, or childish in behaviour	法庭把他安排在另一间，桌椅矮一号，旁听席只坐着家长	少年的/未成年的/幼稚的	The court has a juvenile section.|His juvenile jokes annoyed everyone.	still in the years before grown – 还在长成之前那几年里	少年的：岁数还没到成人那一段的|未成年的：法律上按这一段来算的身份|幼稚的：岁数够了，做法还停在那一段
keen	adjective	/kiːn/	古英语 cēne（勇敢的、锐利的）← 原始日耳曼语 *kōniz（有本事的、大胆的）	very eager, or sharp in perception	他比约定早到二十分钟，工具都摊开了，一直往门口看	热切的/敏锐的/锋利的	She is keen to start the work.|He has a keen sense of smell.	an edge that goes straight in – 一道能直接切进去的锋	热切的：劲头足，往前顶着要做|敏锐的：感觉像刃口那样细，别人察觉不到的他能|锋利的：刀刃本身磨到能一下切进去
keep	verb	/kiːp/	古英语 cēpan（留意、守住），更早词源不明，原始日耳曼语词形无定论	to hold on to something, or to stay in a state	那把钥匙在他抽屉里放了二十年，没配过第二把，也没给过谁	保持/保存/饲养	Please keep the receipt.|He kept walking despite the rain.	holding a thing so it does not slip – 攥住一样东西不让它走	保持：让状态一直不变，不断掉|保存：把东西留在手里不散不丢|饲养：把牲口留在身边一直养着
kettle	noun	/ˈketl/	古英语 cetel ← 早期借入的拉丁语 catillus（小盆）← catinus（深盆）	a covered metal pot with a spout for boiling water	灶上那只金属容器盖子开始跳，嘴里喷出一道白汽，声音越来越尖	水壶/烧水壶	Put the kettle on for tea.|The kettle whistled on the stove.	a spouted pot made for boiling – 专为烧开水做的带嘴容器	水壶：烧水时坐在灶上的那只带嘴器皿|烧水壶：同一样东西，强调它是用来把水烧开的
key	noun / adjective	/kiː/	古英语 cǣg（开锁之物），更早词源不明	a shaped piece for opening a lock, or something that makes a thing work	一小片金属，边上啃出几个缺口，插进去一转，里头咔一声	钥匙/关键/键	He lost the key to the back door.|Timing is the key to this dish.	the shaped bit that lets you in – 让你进得去的那片带齿的东西	钥匙：插进锁孔、一转就开的那片金属|关键：整件事的锁眼，对上它就通|键：手指按下去就起作用的那一格
keyboard	noun	/ˈkiːbɔːd/	中古英语 key（键）+ board（板），字面「排满键的板子」	a set of keys arranged on a board for typing or playing	一整块板子上排满方格，十指落下去噼啪响成一片	键盘/琴键	She spilled coffee on her keyboard.|He runs his hands over the keyboard.	a board laid out with keys to press – 一板子按键排在一起	键盘：敲字用的那一整排方格|琴键：乐器上排成一行、按下出声的那些
kick	verb / noun	/kɪk/	中古英语 kiken，可能出自古诺尔斯语，更早词源不明	to strike with the foot, or a sudden thrust of the leg	他后腿一甩，鞋尖砸在球上，球贴着草皮蹿了出去	踢/踹/后坐力	He kicked the ball into the net.|The rifle kicks against your shoulder.	driving something away with the foot – 用脚把东西送出去	踢：脚扫出去打在东西上|踹：同一动作使足了劲，直着送出|后坐力：枪像被脚蹬了一下那样往后顶
